ROI_INDEX,NUM_VOX,HEMISPHERE,TISSUE_SEG,SUBGROUP_0,SUBGROUP_1,SUBGROUP_2,ROI_NAME,iSUBGROUP_0,iSUBGROUP_1,iSUBGROUP_2
95,12871.8,B,WM,,,,corpus callosum,CEREBELLUM,,
71,4899.8,B,GM,CEREBELLUM,,,Cerebellar Vermal Lobules I-V,CEREBELLUM,,
73,2858.8,B,GM,,,,Cerebellar Vermal Lobules VIII-X,CEREBELLUM,,
72,2266.9,B,GM,,,,Cerebellar Vermal Lobules VI-VII,CEREBELLUM,,
39,54582.6,L,GM,,,,Left Cerebellum Exterior,CEREBELLUM,,
41,15500.7,L,WM,,,,Left Cerebellum White Matter,CEREBELLUM,,
38,54379.4,R,GM,,,,Right Cerebellum Exterior,CEREBELLUM,,
40,15458.7,R,WM,,,,Right Cerebellum White Matter,CEREBELLUM,,
30,585.9,L,GM,DEEP_WM_GM,BASAL_GANGLIA,,Left Accumbens Area,DEEP_WM_GM,BASAL_GANGLIA,
37,3578.9,L,GM,,,,Left Caudate,DEEP_WM_GM,BASAL_GANGLIA,
56,1597.6,L,GM,,,,Left Pallidum,DEEP_WM_GM,BASAL_GANGLIA,
58,4942.3,L,GM,,,,Left Putamen,DEEP_WM_GM,BASAL_GANGLIA,
23,526,R,GM,,,,Right Accumbens Area,DEEP_WM_GM,BASAL_GANGLIA,
36,3651.5,R,GM,,,,Right Caudate,DEEP_WM_GM,BASAL_GANGLIA,
55,1638.8,R,GM,,,,Right Pallidum,DEEP_WM_GM,BASAL_GANGLIA,
57,4726,R,GM,,,,Right Putamen,DEEP_WM_GM,BASAL_GANGLIA,
60,8574.1,L,GM,,DEEP_GM,,Left Thalamus Proper,DEEP_WM_GM,DEEP_GM,
59,8256.3,R,GM,,,,Right Thalamus Proper,DEEP_WM_GM,DEEP_GM,
92,2887.7,L,WM,,DEEP_WM,,anterior limb of internal capsule left,DEEP_WM_GM,DEEP_WM,
91,3393.3,R,WM,,,,anterior limb of internal capsule right,DEEP_WM_GM,DEEP_WM,
90,673.6,L,WM,,,,fornix left,DEEP_WM_GM,DEEP_WM,
89,517.5,R,WM,,,,fornix right,DEEP_WM_GM,DEEP_WM,
94,2416.3,L,WM,,,,posterior limb of internal capsule inc. cerebral peduncle left,DEEP_WM_GM,DEEP_WM,
93,2480.5,R,WM,,,,posterior limb of internal capsule inc. cerebral peduncle right,DEEP_WM_GM,DEEP_WM,
32,993.7,L,GM,,,,Left Amygdala,DEEP_WM_GM,,
75,586.5,L,GM,,,,Left Basal Forebrain,DEEP_WM_GM,,
48,3597.7,L,GM,,,,Left Hippocampus,DEEP_WM_GM,,
31,1021.3,R,GM,,,,Right Amygdala,DEEP_WM_GM,,
76,593.1,R,GM,,,,Right Basal Forebrain,DEEP_WM_GM,,
47,3704.7,R,GM,,,,Right Hippocampus,DEEP_WM_GM,,
105,1897.7,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,Left AOrG  anterior orbital gyrus,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM
137,3015.9,L,GM,,,,Left LOrG  lateral orbital gyrus,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM
147,4637.3,L,GM,,,,Left MOrG  medial orbital gyrus,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM
179,2915.7,L,GM,,,,Left POrG  posterior orbital gyrus,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM
104,2244.9,R,GM,,,,Right AOrG  anterior orbital gyrus,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM
136,2864.1,R,GM,,,,Right LOrG  lateral orbital gyrus,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM
146,4526.7,R,GM,,,,Right MOrG  medial orbital gyrus,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM
178,2504.8,R,GM,,,,Right POrG  posterior orbital gyrus,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM
103,4749.1,L,GM,,,FRONTAL_INSULAR_GM,Left AIns  anterior insula,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM
173,2479.5,L,GM,,,,Left PIns  posterior insula,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM
102,4600.1,R,GM,,,,Right AIns  anterior insula,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM
172,2532,R,GM,,,,Right PIns  posterior insula,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM
121,4392.8,L,GM,,,FRONTAL_LATERAL_GM,Left FRP   frontal pole,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM
143,22847.3,L,GM,,,,Left MFG   middle frontal gyrus,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM
163,3747,L,GM,,,,Left OpIFG opercular part of the inferior frontal gyrus,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM
165,1901.2,L,GM,,,,Left OrIFG orbital part of the inferior frontal gyrus,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM
183,14664.6,L,GM,,,,Left PrG   precentral gyrus,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM
