ROI_INDEX,NUM_VOX,TISSUE_SEG,ROI_NAME
95,10595,WM,corpus-callosum
71,5200,GM,cerebellar-vermal-lobules-i-v
73,3547,GM,cerebellar-vermal-lobules-viii-x
72,1931,GM,cerebellar-vermal-lobules-vi-vii
39,59204,GM,left-cerebellum-exterior
41,15380,WM,left-cerebellum-white-matter
38,60279,GM,right-cerebellum-exterior
40,14871,WM,right-cerebellum-white-matter
92,2660,WM,anterior-limb-of-internal-capsule-left
91,3097,WM,anterior-limb-of-internal-capsule-right
90,764,WM,fornix-left
89,532,WM,fornix-right
94,2539,WM,posterior-limb-of-internal-capsule-inc.-cerebral-peduncle-left
93,2536,WM,posterior-limb-of-internal-capsule-inc.-cerebral-peduncle-right
82,91143,WM,frontal-lobe-wm-left
81,92332,WM,frontal-lobe-wm-right
84,22169,WM,occipital-lobe-wm-left
83,21185,WM,occipital-lobe-wm-right
86,48129,WM,parietal-lobe-wm-left
85,42903,WM,parietal-lobe-wm-right
88,50021,WM,temporal-lobe-wm-left
87,49202,WM,temporal-lobe-wm-right
4,645,VN,3rd-ventricle
11,1588,VN,4th-ventricle
50,38,VN,left-inf-lat-vent
52,5388,VN,left-lateral-ventricle
49,139,VN,right-inf-lat-vent
51,6673,VN,right-lateral-ventricle
35,18466,NONE,brain-stem
62,4915,NONE,left-ventral-dc
61,4831,NONE,right-ventral-dc
75,449,GM,left-basal-forebrain
76,472,GM,right-basal-forebrain
23,519,GM,right-accumbens-area
30,620,GM,left-accumbens-area
149,713,GM,left-mpog-postcentral-gyrus-medial-segment
187,946,GM,left-sca-subcallosal-area
32,962,GM,left-amygdala
31,1069,GM,right-amygdala
186,1181,GM,right-sca-subcallosal-area
164,1553,GM,right-orifg-orbital-part-of-the-inferior-frontal-gyrus
148,1569,GM,right-mpog-postcentral-gyrus-medial-segment
56,1690,GM,left-pallidum
55,1731,GM,right-pallidum
206,1816,GM,right-ttg-transverse-temporal-gyrus
105,1839,GM,left-aorg-anterior-orbital-gyrus
207,1954,GM,left-ttg-transverse-temporal-gyrus
185,877,GM,left-pt-planum-temporale_0
208,1188,GM,left-pt-planum-temporale_1
180,1434,GM,right-pp-planum-polare_0
209,705,GM,right-pp-planum-polare_1
141,1219,GM,left-mfc-medial-frontal-cortex_0
210,1071,GM,left-mfc-medial-frontal-cortex_1
181,764,GM,left-pp-planum-polare_0
211,1553,GM,left-pp-planum-polare_1
173,1486,GM,left-pins-posterior-insula_0
212,1023,GM,left-pins-posterior-insula_1
165,1543,GM,left-orifg-orbital-part-of-the-inferior-frontal-gyrus_0
213,970,GM,left-orifg-orbital-part-of-the-inferior-frontal-gyrus_1
172,1535,GM,right-pins-posterior-insula_0
214,985,GM,right-pins-posterior-insula_1
179,1279,GM,left-porg-posterior-orbital-gyrus_0
215,1261,GM,left-porg-posterior-orbital-gyrus_1
178,1077,GM,right-porg-posterior-orbital-gyrus_0
216,1535,GM,right-porg-posterior-orbital-gyrus_1
117,1551,GM,left-ent-entorhinal-area_0
217,1076,GM,left-ent-entorhinal-area_1
151,1152,GM,left-mprg-precentral-gyrus-medial-segment_0
218,1615,GM,left-mprg-precentral-gyrus-medial-segment_1
137,1601,GM,left-lorg-lateral-orbital-gyrus_0
219,1264,GM,left-lorg-lateral-orbital-gyrus_1
119,1447,GM,left-fo-frontal-operculum_0
220,1505,GM,left-fo-frontal-operculum_1
175,1565,GM,left-po-parietal-operculum_0
221,1406,GM,left-po-parietal-operculum_1
124,1386,GM,right-gre-gyrus-rectus_0
222,1590,GM,right-gre-gyrus-rectus_1
196,1334,GM,right-sog-superior-occipital-gyrus_0
223,1648,GM,right-sog-superior-occipital-gyrus_1
136,1416,GM,right-lorg-lateral-orbital-gyrus_0
224,1594,GM,right-lorg-lateral-orbital-gyrus_1
118,1555,GM,right-fo-frontal-operculum_0
225,1477,GM,right-fo-frontal-operculum_1
116,1159,GM,right-ent-entorhinal-area_0
226,1878,GM,right-ent-entorhinal-area_1
184,1241,GM,right-pt-planum-temporale_0
227,1814,GM,right-pt-planum-temporale_1
104,2034,GM,right-aorg-anterior-orbital-gyrus_0
228,1150,GM,right-aorg-anterior-orbital-gyrus_1
101,1862,GM,left-acgg-anterior-cingulate-gyrus_0
229,1342,GM,left-acgg-anterior-cingulate-gyrus_1
121,1338,GM,left-frp-frontal-pole_0
230,1997,GM,left-frp-frontal-pole_1
170,1614,GM,right-phg-parahippocampal-gyrus_0
231,1761,GM,right-phg-parahippocampal-gyrus_1
174,1800,GM,right-po-parietal-operculum_0
232,1612,GM,right-po-parietal-operculum_1
112,1633,GM,right-co-central-operculum_0
233,1831,GM,right-co-central-operculum_1
171,1646,GM,left-phg-parahippocampal-gyrus_0
234,1864,GM,left-phg-parahippocampal-gyrus_1
140,2169,GM,right-mfc-medial-frontal-cortex_0
235,1456,GM,right-mfc-medial-frontal-cortex_1
47,2090,GM,right-hippocampus_0
236,1544,GM,right-hippocampus_1
108,1540,GM,right-calc-calcarine-cortex_0
237,2189,GM,right-calc-calcarine-cortex_1
48,1652,GM,left-hippocampus_0
238,2087,GM,left-hippocampus_1
109,2343,GM,left-calc-calcarine-cortex_0
239,1515,GM,left-calc-calcarine-cortex_1
115,1497,GM,left-cun-cuneus_0
240,1651,GM,left-cun-cuneus_1
241,1004,GM,left-cun-cuneus_2
125,1461,GM,left-gre-gyrus-rectus_0
242,1236,GM,left-gre-gyrus-rectus_1
243,1476,GM,left-gre-gyrus-rectus_2
37,574,GM,left-caudate_0
244,2176,GM,left-caudate_1
245,1436,GM,left-caudate_2
36,2099,GM,right-caudate_0
246,625,GM,right-caudate_1
247,1510,GM,right-caudate_2
139,1384,GM,left-mcgg-middle-cingulate-gyrus_0
248,1280,GM,left-mcgg-middle-cingulate-gyrus_1
249,1604,GM,left-mcgg-middle-cingulate-gyrus_2
113,1601,GM,left-co-central-operculum_0
250,1435,GM,left-co-central-operculum_1
251,1272,GM,left-co-central-operculum_2
150,1129,GM,right-mprg-precentral-gyrus-medial-segment_0
252,1497,GM,right-mprg-precentral-gyrus-medial-segment_1
253,1688,GM,right-mprg-precentral-gyrus-medial-segment_2
166,1617,GM,right-pcgg-posterior-cingulate-gyrus_0
254,1930,GM,right-pcgg-posterior-cingulate-gyrus_1
255,1104,GM,right-pcgg-posterior-cingulate-gyrus_2
57,1236,GM,right-putamen_0
256,1734,GM,right-putamen_1
257,1692,GM,right-putamen_2
146,1450,GM,right-morg-medial-orbital-gyrus_0
258,1959,GM,right-morg-medial-orbital-gyrus_1
259,1253,GM,right-morg-medial-orbital-gyrus_2
102,1753,GM,right-ains-anterior-insula_0
260,1685,GM,right-ains-anterior-insula_1
261,1340,GM,right-ains-anterior-insula_2
197,1448,GM,left-sog-superior-occipital-gyrus_0
262,1776,GM,left-sog-superior-occipital-gyrus_1
263,1734,GM,left-sog-superior-occipital-gyrus_2
120,1607,GM,right-frp-frontal-pole_0
264,1485,GM,right-frp-frontal-pole_1
265,1876,GM,right-frp-frontal-pole_2
58,1725,GM,left-putamen_0
266,1385,GM,left-putamen_1
267,1870,GM,left-putamen_2
167,1211,GM,left-pcgg-posterior-cingulate-gyrus_0
268,1516,GM,left-pcgg-posterior-cingulate-gyrus_1
269,2323,GM,left-pcgg-posterior-cingulate-gyrus_2
161,2006,GM,left-ofug-occipital-fusiform-gyrus_0
270,1569,GM,left-ofug-occipital-fusiform-gyrus_1
271,1525,GM,left-ofug-occipital-fusiform-gyrus_2
103,2051,GM,left-ains-anterior-insula_0
272,1602,GM,left-ains-anterior-insula_1
273,1560,GM,left-ains-anterior-insula_2
156,1944,GM,right-ocp-occipital-pole_0
274,1383,GM,right-ocp-occipital-pole_1
275,1917,GM,right-ocp-occipital-pole_2
147,1951,GM,left-morg-medial-orbital-gyrus_0
276,1994,GM,left-morg-medial-orbital-gyrus_1
277,1318,GM,left-morg-medial-orbital-gyrus_2
114,1821,GM,right-cun-cuneus_0
278,1431,GM,right-cun-cuneus_1
279,2020,GM,right-cun-cuneus_2
192,2434,GM,right-smc-supplementary-motor-cortex_0
280,1756,GM,right-smc-supplementary-motor-cortex_1
281,1316,GM,right-smc-supplementary-motor-cortex_2
138,2147,GM,right-mcgg-middle-cingulate-gyrus_0
282,2067,GM,right-mcgg-middle-cingulate-gyrus_1
283,1384,GM,right-mcgg-middle-cingulate-gyrus_2
134,2387,GM,right-lig-lingual-gyrus_0
284,2101,GM,right-lig-lingual-gyrus_1
285,1277,GM,right-lig-lingual-gyrus_2
100,1635,GM,right-acgg-anterior-cingulate-gyrus_0
286,1525,GM,right-acgg-anterior-cingulate-gyrus_1
287,984,GM,right-acgg-anterior-cingulate-gyrus_2
288,1745,GM,right-acgg-anterior-cingulate-gyrus_3
162,1632,GM,right-opifg-opercular-part-of-the-inferior-frontal-gyrus_0
289,1242,GM,right-opifg-opercular-part-of-the-inferior-frontal-gyrus_1
290,1839,GM,right-opifg-opercular-part-of-the-inferior-frontal-gyrus_2
291,1337,GM,right-opifg-opercular-part-of-the-inferior-frontal-gyrus_3
163,976,GM,left-opifg-opercular-part-of-the-inferior-frontal-gyrus_0
292,1215,GM,left-opifg-opercular-part-of-the-inferior-frontal-gyrus_1
293,2332,GM,left-opifg-opercular-part-of-the-inferior-frontal-gyrus_2
294,1760,GM,left-opifg-opercular-part-of-the-inferior-frontal-gyrus_3
135,1343,GM,left-lig-lingual-gyrus_0
295,1757,GM,left-lig-lingual-gyrus_1
296,1747,GM,left-lig-lingual-gyrus_2
297,1512,GM,left-lig-lingual-gyrus_3
157,1792,GM,left-ocp-occipital-pole_0
298,1604,GM,left-ocp-occipital-pole_1
299,1897,GM,left-ocp-occipital-pole_2
300,1313,GM,left-ocp-occipital-pole_3
205,1571,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_0
301,1707,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_1
302,2063,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_2
303,1341,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_3
160,1671,GM,right-ofug-occipital-fusiform-gyrus_0
304,1676,GM,right-ofug-occipital-fusiform-gyrus_1
305,1157,GM,right-ofug-occipital-fusiform-gyrus_2
306,2223,GM,right-ofug-occipital-fusiform-gyrus_3
201,1799,GM,left-stg-superior-temporal-gyrus_0
307,1288,GM,left-stg-superior-temporal-gyrus_1
308,2106,GM,left-stg-superior-temporal-gyrus_2
309,1612,GM,left-stg-superior-temporal-gyrus_3
204,1853,GM,right-trifg-triangular-part-of-the-inferior-frontal-gyrus_0
310,2177,GM,right-trifg-triangular-part-of-the-inferior-frontal-gyrus_1
311,1908,GM,right-trifg-triangular-part-of-the-inferior-frontal-gyrus_2
312,1120,GM,right-trifg-triangular-part-of-the-inferior-frontal-gyrus_3
144,2095,GM,right-mog-middle-occipital-gyrus_0
313,1557,GM,right-mog-middle-occipital-gyrus_1
314,1582,GM,right-mog-middle-occipital-gyrus_2
315,1858,GM,right-mog-middle-occipital-gyrus_3
145,1524,GM,left-mog-middle-occipital-gyrus_0
316,1645,GM,left-mog-middle-occipital-gyrus_1
317,1481,GM,left-mog-middle-occipital-gyrus_2
318,1929,GM,left-mog-middle-occipital-gyrus_3
319,1582,GM,left-mog-middle-occipital-gyrus_4
200,1586,GM,right-stg-superior-temporal-gyrus_0
320,1857,GM,right-stg-superior-temporal-gyrus_1
321,2483,GM,right-stg-superior-temporal-gyrus_2
322,1224,GM,right-stg-superior-temporal-gyrus_3
323,1319,GM,right-stg-superior-temporal-gyrus_4
123,1838,GM,left-fug-fusiform-gyrus_0
324,1501,GM,left-fug-fusiform-gyrus_1
325,1357,GM,left-fug-fusiform-gyrus_2
326,2054,GM,left-fug-fusiform-gyrus_3
327,1726,GM,left-fug-fusiform-gyrus_4
193,1561,GM,left-smc-supplementary-motor-cortex_0
328,1798,GM,left-smc-supplementary-motor-cortex_1
329,1436,GM,left-smc-supplementary-motor-cortex_2
330,1735,GM,left-smc-supplementary-motor-cortex_3
331,2261,GM,left-smc-supplementary-motor-cortex_4
122,1670,GM,right-fug-fusiform-gyrus_0
332,1608,GM,right-fug-fusiform-gyrus_1
333,1807,GM,right-fug-fusiform-gyrus_2
334,1653,GM,right-fug-fusiform-gyrus_3
335,2068,GM,right-fug-fusiform-gyrus_4
59,2155,GM,right-thalamus-proper_0
336,1604,GM,right-thalamus-proper_1
337,1746,GM,right-thalamus-proper_2
338,1606,GM,right-thalamus-proper_3
339,2045,GM,right-thalamus-proper_4
203,2057,GM,left-tmp-temporal-pole_0
340,1865,GM,left-tmp-temporal-pole_1
341,1671,GM,left-tmp-temporal-pole_2
342,1998,GM,left-tmp-temporal-pole_3
343,1570,GM,left-tmp-temporal-pole_4
